created_at,driver_id,rating,driver_status,updated_at,driver_user_id,vehicle_id,rating_category,driver_experience_days,is_active,days_since_update,ride_id,rideer_user_id,pickup_location,dropoff_location,pickup_lat,pickup_long,dropoff_lat,dropoff_long,distance_km,ride_start_time,ride_end_time,Fare,rider_Status,ride_duration_min,uber_fare,driver_fare,fare_per_km,ride_shift,user_id,name,email,phone_number,password_hash,profile_picture,user_type,user_created_at,user_updated_at,Fitness_Certificate_Expiry,Fuel_Type,GPS_Enabled,Insurance_Expiry_Date,Registration_Date,capacity,color,model,vehicle_num,vehicle_type,vehicle_age_years,insurance_status,insurance_days_remaining,fitness_status,vehicle_age_group,pickup_location_id,pickup_location_name,pickup_master_latitude,pickup_master_longitude,pickup_description,dropoff_location_id,dropoff_location_name,dropoff_master_latitude,dropoff_master_longitude,dropoff_description
2022-12-26,DL-01************99,3.4,active,2023-08-24,U15551,V3103,Average,1276,1,1035,,,,,,,,,,,,,,,,,,,U15551,User15551,U******@gmail.com,+91 86******49,?ij ************** );J,https://example.com/user15551.jpg,driver,2022-12-26,2023-08-24,2026-11-21,Petrol,true,2024-11-21,2019-11-21,7,Blue,Toyota,KA 41 WB 3**2,SUV,6.59,Expired,0,Valid,Mid-Age,,,,,,,,,,
2020-05-30,DL-02************16,4.5,active,2021-08-22,U13944,V2780,Excellent,2216,1,1767,,,,,,,,,,,,,,,,,,,U13944,User13944,U******@gmail.com,+91 94******94,RW5 ************** X2$,https://example.com/user13944.jpg,driver,2020-05-30,2021-08-22,2027-11-09,Diesel,false,2025-11-09,2020-11-09,6,Blue,Hyundai,KA 04 IE 5**7,Hatchbacks,5.62,Expired,0,Valid,Mid-Age,,,,,,,,,,
2024-03-25,DL-02************21,2.8,active,2024-09-14,U15695,V3132,Average,821,1,648,,,,,,,,,,,,,,,,,,,U15695,User15695,U******@gmail.com,+91 71******34,=|X ************** UZj,https://example.com/user15695.jpg,driver,2024-03-25,2024-09-14,2028-10-05,Diesel,true,2026-10-05,2021-10-05,4,White,Hyundai,KA 52 WX 3**7,SUV,4.72,Active,103,Valid,Mid-Age,,,,,,,,,,
2022-11-22,DL-02************37,1.7,active,2024-05-28,U13062,V2601,Poor,1310,1,757,,,,,,,,,,,,,,,,,,,U13062,User13062,U******@gmail.com,+91 70******89,aB2 ************** @b4,https://example.com/user13062.jpg,driver,2022-11-22,2024-05-28,2025-02-28,Diesel,true,2023-02-28,2018-02-28,7,Black,Toyota,KA 51 CZ 3**6,Sedan,8.32,Expired,0,Expired,Old,,,,,,,,,,
2020-07-22,DL-02************58,3.4,active,2024-06-07,U10080,V2022,Average,2163,1,747,,,,,,,,,,,,,,,,,,,U10080,User10080,U******@gmail.com,+91 75******04,"rS> ************** af,",https://example.com/user10080.jpg,driver,2020-07-22,2024-06-07,2023-10-04,Petrol,true,2021-10-04,2016-10-04,7,Black,Toyota,KA 01 MB 5**9,SUV,9.72,Expired,0,Expired,Old,,,,,,,,,,
2022-01-22,DL-02************76,5.8,active,2022-04-27,U1257,V0231,Excellent,1614,1,1519,,,,,,,,,,,,,,,,,,,U1257,User1257,U******@gmail.com,+91 97******93,z)9 ************** Dg[,https://example.com/user1257.jpg,driver,2022-01-22,2022-04-27,2028-11-03,Petrol,true,2026-11-03,2021-11-03,4,Blue,Toyota,KA 41 ID 5**7,Hatchbacks,4.64,Active,132,Valid,Mid-Age,,,,,,,,,,
2023-08-27,DL-02************76,5.0,active,2024-10-01,U10889,V2178,Excellent,1032,1,631,,,,,,,,,,,,,,,,,,,U10889,User10889,U******@gmail.com,+91 91******24,xJE ************** 81d,https://example.com/user10889.jpg,driver,2023-08-27,2024-10-01,2026-07-26,Diesel,true,2024-07-26,2019-07-26,7,Red,Suzuki,KA 01 HQ 4**4,SUV,6.91,Expired,0,Valid,Mid-Age,,,,,,,,,,
2023-12-01,DL-02************77,5.5,active,2024-06-17,U8070,V1598,Excellent,936,1,737,,,,,,,,,,,,,,,,,,,U8070,User8070,U******@gmail.com,+91 97******47,zH} ************** 0h;,https://example.com/user8070.jpg,driver,2023-12-01,2024-06-17,2026-06-11,Diesel,true,2024-06-11,2019-06-11,7,Black,Toyota,KA 04 KG 1**3,Sedan,7.03,Expired,0,Expired,Old,,,,,,,,,,
2020-05-20,DL-02************77,2.6,active,2021-03-15,U12662,V2516,Average,2226,1,1927,,,,,,,,,,,,,,,,,,,U12662,User12662,U******@gmail.com,+91 94******48,"08$ ************** ,7a",https://example.com/user12662.jpg,driver,2020-05-20,2021-03-15,2023-06-23,Petrol,true,2021-06-23,2016-06-23,5,Red,Honda,KA 41 DN 7**2,SUV,10.0,Expired,0,Expired,Old,,,,,,,,,,
2020-04-16,DL-02************79,2.1,active,2020-10-12,U1497,V0282,Poor,2260,1,2081,,,,,,,,,,,,,,,,,,,U1497,User1497,U******@gmail.com,+91 97******71,PIL ************** 3!2,https://example.com/user1497.jpg,driver,2020-04-16,2020-10-12,2023-07-29,Diesel,true,2021-07-29,2016-07-29,6,Blue,Toyota,KA 03 VK 8**8,Hatchbacks,9.9,Expired,0,Expired,Old,,,,,,,,,,
